Plate ID,"R007_PEI Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:29:38 AM"
Scan Description,""
Scan Result ID,"22/03/19 3:20:34 AM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:29:38 AM - 22/03/19 2:46:58 AM"
Analysis Start Time,"22/03/19 3:20:34 AM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
G,,1936.81810029146,1757.12746777919,1780.56102227689,2591.172303207,2604.43221423649,2404.40383971425,3219.33169505086,3254.94370827937,3060.73506224066,2000.24761681513,
H,,2179.20930768345,2151.01732377539,2173.94919798043,3222.91540161414,2628.39159451659,2613.34649151759,3748.96638027643,3899.40153908,4036.16071852028,2426.47444001649,

SD of Target 2 Integrated Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,3598.25707947612,601.968870319166,714.559007921997,638.753085418952,15647.8634979304,3538.83295678836,5251.65825131299,5227.32347773935,4860.37402871517,29,
B,,7753.67335659106,1091.05746891481,2334.95745153157,4573.09166814061,18144.8763829733,4821.51840981798,8730.53326374595,8743.70661684366,8716.69749209667,6.59966329107447,
C,,3138.75780257252,25650.7272866014,658.530153029442,4066.15485082641,5692.36362924049,771.883126910232,12141.1010647213,3878.81555063821,4921.3898075065,2924.93628135725,
D,,1220.71482883323,346.500641002114,2437.95695016543,1717.92601906989,5155.15809342627,2005.80791320643,5985.10901679515,5449.24781242358,6380.13549282581,393.544329001053,
E,,1907.94903323212,1527.89357234812,1610.87002943919,4473.91997862083,4458.59234407792,4847.65514261782,6152.91065268051,6120.90491463184,5898.63620265335,1578.85287689077,
F,,1673.24389622349,1680.81216518753,1633.34880237711,3843.33150553249,3756.38733512845,9527.72019658977,4995.62731743696,6467.1804610856,4540.10158148567,1262.72453610829,
G,,2143.41569165592,1731.68201023928,1850.03909454918,4189.88356554902,3897.82865060575,3612.39322382534,5268.62383836963,5344.77083050026,4857.11833370455,1080.5752968705,
H,,2256.63832104346,2475.73223530563,2192.59090891328,5252.95618300311,4029.63301151162,4066.09347524948,5564.53802353625,6349.82217967225,6217.39741792626,1684.92844746972,

AVG Mask Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,89.0169059753418,48.1698789596558,37.1389241536458,42.0791179793222,96.0623975051077,41.7789454026656,92.8275405539381,92.813594027664,89.7246560133231,22,
B,,90.8828654819065,54.0115123798973,45.9783644406301,75.6035765451403,72.6505720588598,91.4557037594952,94.2960418807505,93.9969075301157,92.4978344232326,30.3204549153646,
C,,85.9446806731047,89.7629693349202,32.7261403764997,52.8710969181384,62.0824666274221,50.2778979182243,80.129963926947,89.5614894763041,80.3862303993919,63.3940906524658,
D,,49.3553384145101,37.9556300423362,69.7244221443354,73.2136881585215,81.8550923181617,82.6990940719354,100.484467996267,108.72936002006,102.793149385646,44.3023700714111,
E,,98.655215349265,98.8821145717991,98.2635903084473,101.178590716299,102.348079023184,104.942600516589,106.659321796067,105.878263330065,105.132134267386,110.16657780801,
F,,97.6984527917327,97.7113197271551,99.0046476324543,105.233848702447,100.334767162283,102.737170233246,102.822022881521,104.645818030249,104.677703598531,111.743965999059,
G,,96.7131802052001,96.032609819141,96.5933233403117,99.1742828349865,98.761887496089,101.164634805884,101.588335966933,104.427009942522,104.35346607803,105.556326333931,
H,,88.7975865791455,93.7717615176811,94.2364305157169,95.4614061127479,99.5282540450907,99.6377528495705,94.4048485666601,99.643946563514,97.8286911187549,101.608878622116,

SD of Mask Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,28.6524374712549,27.3477672404319,22.2481803971034,35.1815872193197,77.0312154256767,35.6487903667414,26.9388211769657,24.6845308431322,24.0152286718357,0.75,
B,,61.2256181607205,41.8089363231385,38.3369866517914,41.2079719177267,47.9808769829922,37.3062725373589,27.4360750373761,24.9246394316067,24.6520208269531,3.05840909083216,
C,,50.8016381128573,53.2583812689845,21.6258767419865,52.4420817622596,50.1646562213313,32.1306610583801,40.9760066697456,31.0738949962177,33.4918793767136,75.305157619294,
D,,40.5284064769119,19.3090946033661,50.3903847152553,52.418906010658,36.3090520443941,42.6056467493063,26.5179431383421,27.8281225836181,26.9647276154423,24.7764678751495,
E,,19.6830949849419,18.4939874859504,18.4188760404354,18.679139225393,19.2278029831368,20.2628091386854,20.0189821578925,20.2377784406848,18.9367490964644,21.0480205870284,
F,,18.0575977370928,17.8997876720491,18.1663195995689,17.9252055929015,18.6041066653449,20.8619430685749,19.3082868518229,19.9054186732151,19.9547621557045,22.0166787436246,
G,,19.9151007118837,18.9855218655603,19.4494161629488,19.2358222124272,18.9986693427818,20.4196377136568,20.3452793843915,20.5292754762986,20.2961527874788,21.51457257916,
H,,20.1659452742994,19.3627990866387,19.8471289996708,19.2757706193685,19.0106556375269,18.7202828394659,19.4470263428232,20.3004445395464,19.9133213827391,23.6001777713572,

